id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201540479349200604			RESTRICTED	56269		
201521339349102407						
201502459349200855				44097		
201531359349204593				20000		
201522389349300242	4267998	2186623	2186623		57903	213331
201502269349300105	295077034	159546959	159546959		74931561	-67117698
201510279349200511				54198		
201531709349300238	0	0	0		47036	53124
201521329349102617			25500			
201501359349204220						
201531329349301013	1287952	4230430	4230430		392	426
201532369349300608	2265111	2042276	2042276		1097	1882
201541209349301359	9227555	3866447	3866447		4275669	4226054
201521359349302222	15780	11671	11671			0
201521959349200127				420		
201542099349200624			RESTRICTED	34156		
201502679349200325			RESTRICTED	183365		
201531629349300008	208584	218250	218250		620	386
201530989349200633				42493		
201530419349301063		123500	123500			1942
201532459349300913	98669	123113	123113		2445	582
201542269349202084			RESTRICTED	46674		
201532249349302663	741483	898650	898650		0	86
201522449349300027		0	0		518	283
201510369349100201						
201542269349200304			RESTRICTED	52242		
201511019349200201				10741		
201502669349300015		0	0			0
201522649349200367			RESTRICTED	5964		
201512409349300101	3838405	2614352	2614352		52543	78478
