id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201520939349300207	105191	81196	81196		56	352
201501359349303575	47841	49394	49394		1313	2178
201531349349306973	295233	293899	293899		3	4
201531339349301723	92356	712765	712765		47	58
201501569349300535	0	0			229946	153219
201512239349301146	27573698	28531175	28531175		715	1362
201521829349300502	2926441	1005991	1005991		5181	5043
201542039349300219	113748	153800	153800		60	100
201510699349300146	1809326	1607387	1607387		59446	311473
201520629349300302	386249	951368	951368		252	327
201521349349305817	50090	33423	33423		37142	85212
201501879349301400	2377121	2416438	2416438		823	861
201521889349300212	2068	0			7649	7983
201542259349300414	0	0			1747	1531
201541329349301409	139951	186678	186678		284	296
201532239349302008	258851	223250	223250		2	1
201500449349302360	9072698	9358148	9358148		1970	4000
201501539349300220	670897	653169	653169		21209	36811
201512319349300911	244650	181526	181526		2925	2338
201512189349301181	1448133	1904810	1904810		637	21655
201541359349304764	2254175	2197874	2197874		120859	153518
201520879349300107	126040	83148	83148		1	-7445
201541499349300814	0	0			0	0
201501529349300920	658165	740729	740729		149380	146647
201542269349301714	321146	307625	307625		945	60
201530409349301323	209845	248384	248384		53	20
201522389349300617	95155	85941	85941		822	2464
201502039349300905	906	0			74	88
201511929349300101	175613	184403	184403		1	184
201522389349300707	226443	200123	200123		0	0
201531359349306238	6599107	7318445	7318445		8	12946
201511919349300221	731571	717832	717832		721	720
201522389349300822	441857	918532	918532		32	94
201522389349300902	7797	46916	46916		32692	35386
201522389349300907	0	0			156	53705
201531689349300123	10644	20985	20985		28352324	29058083
201532379349300013	618321	553331	553331		57	536
201502109349300100	30046	33911	33911		358	351
201522399349300117	332177	370695	370695		180	223
201532299349300708	45865	29171	29171		181	54
201520149349300607	561309	1125626	1125626		416601	666299
201532329349300123	12633	9686	9686		1228	44
201512259349301296	416697	390959	390959		220	144
201521349349307897	0	0			165	139
201532669349300413	114560	109731	109731		72	16
201532669349300428	799862	711764	711764		-1597	22
201502739349300020	238565096	8423886	8423886		6011465	2191233
201512659349300951	5709439	5460900	5460900		5105554	2756834
201501209349300235	36078	28002	28002		4	6
201531359349306018	250	450	450		17213	17127
201540309349300504	593250	548500	548500		866	505
201542519349300284	42972	23385	23385		11	5
201542259349301349	629192	337800	337800		1273	1662
201522159349300312	0	0			64789	84102
201541069349300204	96924	103897	103897		60	55
201542279349300139	9500	13500	13500		2080	3842
201532299349300728	160029	172185	172185		7295	15816
201501919349300330	133	0			17133	15670
201502329349300515	12659	10700	10700		49	87
201522299349304457	98484	149960	149960		2973	437
201532739349301108	70048	70802	70802		668	377
201531839349300308	99950	103075	103075		4680	3201
201522299349304527	50760	50400	50400		66	62
201520299349300702	1686017	1450039	1450039		0	0
201522319349300402	239366	353600	353600		824	688
201502469349300435	74290	80037	80037		8	6
201501339349302185	812912	219783	219783		18	1300
201501319349303015	0	0	0		152	228
201511819349301361	0	0			90	48
201530299349300148	447418	484681	484681		130	145
201522269349303402	1000	1000	1000		25760	28849
201521359349300532	0	0			47	141
201521549349300337	420791	423446	423446		400	469
201522399349300642	1930102	1695106	1695106		436027	710973
201501319349301500	62554	71931	71931		23	36
201522269349303502	256082	285822	285822		3507	663
201532389349300218	310495	783422	783422		299	314
201532389349300233	414256	371411	371411		713	0
201532389349300248	4242	33159	33159		140	0
201520579349300012	93914	66133	66133		-1247	157
201532479349300008	20799	494048	494048		16	14
201530579349300233	226189	200758	200758		334	221
201511339349304221	24103	21867	21867		41671	61689
201532389349300413	2112643	1563698	1563698		324081	285560
201512179349300956	4781620	4675951	4675951		4	3
201520439349302117	101562	130675	130675		750	900
201501409349300855	62632	87392	87392		2	2
201521889349300817	190710	201874	201874		-74	382
201531359349302313	384815	556770	556770		1526	2608
201512339349300006	127766	57281	57281		64	5
201512389349300701	378870	370669	370669		34	-98
201512249349301196	148512	18778	18778		1291	1305
201541979349300319	1502917	4175770	4175770		1584691	225110
201541359349307779	698213	617235	617235		-16371	21220
201510409349300346	612867	613053	613053		594831	609251
201532109349301023	286875	237927	237927		-135085	3736
201501139349300710	37000	33300	33300		186	155
201502619349300515	5539399	4318923	4318923		7053	931652
201502679349300315	0	0			233	1234
201510129349301281	1609618	1246282	1246282		933	442
201511329349303456	0	0			390	385
201502679349300710	33022	27946	27946		249	170
201501349349302585	2226161	3304136	3304136		9148	7198
201502189349301320	1084816	1417444	1417444		85	180
201511479349300511	144061	91496	91496		131579	-323109
201532659349300533	0	0			5227	3907
201521409349300007	999798	926647	926647		209	239
201532659349300708	123	1451	1451		102	74
201522299349303107	26736	28422	28422		202	35
201511709349300731	532158	501991	501991		0	0
201542279349300219	165530	185088	185088		2436	2363
201521359349303602	594776	1095911	1095911		0	19
201542299349303219	764	1104	1104		116	0
201502259349302855	7708	7996	7996		68044	106115
201501659349300400	5575	0			4541	2901
201542319349300604	210545	208389	208389		555	676
201511329349301481	812907	603075	603075		6258	6630
201522449349300647	0	0			9108	154
201541539349300534	49264	77876	77876		29	36
201522749349300917	1129	923	923		13	13
201501249349301125	450710	658681	658681		201100	201088
201511739349301001	43611	67863	67863		10032	15861
201500639349300425	58187	53936	53936		130689	-21780
201542049349300314	161663	408860	408860		2055	2344
201511279349300946	51575878	35317090	35317090		1304913	1826681
201502729349300915	898949	1101689	1101689		0	0
201512719349300126	229234	228143	228143		15	31
201502099349300700	553184	433060	433060		-341	0
201542269349303809	5711	5207	5207		158	194
201521679349300642	67931	268736	268736		295	311
201501759349300730	6639959	7446540	7446540		72825	129696
201511349349304281	997	3160	3160		45192	27085
201522619349300232	221100	188611	188611		1070	853
201540439349301659	17124	52298	52298		22	407
201520939349300547	948118	1388002	1388002		2505039	2954129
201511959349301256	59783	138608	138608		2	1
201511289349301281	2265786	2820015	2820015		294663	823762
201501289349301600	100883	31407	31407		141	129
201512269349304476	108598	138521	138521		1946	5588
201512229349300436	241330	236202	236202		944	813
201512279349300861	0	0	0		0	0
201512099349300721	56988	55356	55356		9	11
201531699349300048	47234	27914	27914		736	624
201502269349303595	11259	20808	20808		58	54
201531269349301703	18705565	16192337	16192337		6601310	7680866
201522299349304102	12579	3565	3565		15172	15904
201511909349300401	558830	989245	989245		1769	1238
201522159349300102	1550	2300	2300		8	7
201531359349304588	0	0			0	3659
201502339349300130	57960	258684	258684		16792	91913
201502339349300135	362683	392682	392682		135	143
201502339349300200	52029	52809	52809		15	18
201501189349301005	306959	139610	139610		81108	139618
201512339349300806	201380	233431	233431		200	222
201512459349301036	91512	60930	60930		174	0
201522239349302017	476343	462147	462147		17	15
201521809349301252	153718	131125	131125		10550	18649
201520149349300447	9825	9030	9030		35	37
201531539349300333	1925376	2074230	2074230		4454	1103
201542099349300214	335761	275068	275068		3	31
201532259349302328	42806	30093	30093		24933	28191
201541949349300959	279555	310330	310330		347	437
201521349349304817	3574145	2942735	2942735		245736	931380
201511339349303896	0	0			415	188
201511339349305286	683587	679861	679861		339	738
201522669349300622	0	0			10903	9032
201522669349300702	0	0			2	2
201542659349301004	19783	46563	46563		2533	4858
201540129349301264	388039	431657	431657		3197	2475
201532249349301153	2000	0			27	5173
201541359349309569	33728	18952	18952		1140	904
201521369349300907	149560	256386	256386		393817	209285
201542529349300449	281084	469107	469107		13498	14644
201522649349300617	220642	226000	226000		725	115
201532239349301018	367956	317791	317791		30956	49957
201531359349305153	0	0			224664	791750
201540719349300014	31346	96146	96146		306	225
201542619349301009	47915	21519	21519		2	1
201521349349303602	206103	249723	249723		12	349
201531329349303913	15326	11537	11537		141	150
201502109349300825	0	0			0	0
201541359349302204	5205466	8254611	8254611		20541	13702
201510619349300816	11277233	11002470	11002470		1932	690
201502129349301170	5314689	4495314	4495314		72111	98536
201511949349301101	6652	0	0		11	8
201501379349300405	241783	273578	273578		0	13
201501669349300815	200725	201600	201600		1228	-32292
201520789349300107	55934	75645	75645		44	26
201501059349300985	111500	5000	5000		161	105
201522299349302032	144389	219439	219439		104	44
201542229349302059	0	0	0		253923	252914
201540339349300304	50000	120000	120000		44444	79556
201502249349301165	52470	65547	65547		0	1
201521679349300422	154512	158769	158769		158	195
201510349349300346	413313	408706	408706		55	60
201501549349300525	349538	312931	312931		78913	83923
201542299349302484	0	0			0	0
201530849349300323	245322	244349	244349		360	234
201541359349303409	22605	26723	26723		124	95
201511319349301541	44065	47487	47487		526	496
201521339349300022	672614	688411	688411		0	0
201542299349300529	118920	35379	35379		2729	7581
201531979349300903	1262308	1379749	1379749		7008	7080
201511359349301721	208724	2723278	2723278		7360	57620
201540759349301554	0	0			0	2
201542299349301194	864	1423	1423		66	58
201540689349300334	87803	52238	52238		761	1472
201522379349300317	0	0			14524	9081
201522379349300707	38792	27721	27721		76	8
201512299349303786	4843775	2091522	2091522		2222	4415
201502529349300730	19602	18371	18371		479	466
201522379349301002	824783	898636	898636		-387	1691
201532369349300028	1257	0			3335	3135
201502119349301085	12643	16759	16759		0	0
201542249349301824	1023682	744698	744698		63927	45621
201502399349300230	1084769	1076940	1076940		70	63
201541359349305154	1097191	1092507	1092507		41239	22777
201522179349301002	3536	11073	11073		1516	687
201531349349301393	17342	50344	50344		9013	16022
201521359349305607	4100961	1084413	1084413		85151	94740
201502399349300320	205835	197225	197225		1924	1838
201502399349300330	3925	9111	9111		-251768	6305
201501319349300725	2109	2268	2268		2	2
201521349349304762	25330	22841	22841		9611	25819
201522169349300007	0	0	0		2118331	7760906
201542309349300809	857064	733743	733743		429765	698482
201531279349301158	792490	834901	834901		54141	51710
201541989349300519	383041	492081	492081		4637	4875
201532659349300018	6145	5830	5830		1	10
201542479349300009	0	0			0	1069
201542649349300759	266000	201000	201000		61	2
201511339349301411	46809	43448	43448		8264	113588
201501329349302890	5105665	6849798	6849798		215061	580503
201511329349304466	1070201	1180359	1180359		-4019	-7025
201502649349300330	426498	689452	689452		2858	666
201542269349301234	1150900	1000500	1000500		675	663
201511339349306351	162471869	202473546	202473546		56526160	58592812
201542679349300724	1739942	674707	674707		35960	30373
201511349349300931	9170	3000	3000		49	72
201531339349300723	241046	249860	249860		52874	152544
201511069349300406	89407	88202	88202		637	96
201521329349301657	50616	52309	52309		77	52
201521019349300012	0	0			228857	104945
201511339349305121	0	0			64775	77900
201500799349300815	3332013	2129008	2129008		4126	1812
201512059349300106	0	0			116435	337128
201501359349305595	7034578	8321763	8321763		570350	361654
201521479349300102	102108	137109	137109		66	65
201522729349300302	4087109	4528338	4528338		0	0
201500129349300800	13131	76571	76571		10696	15951
201502619349300730	1044212	1069559	1069559		229401	228630
201502619349300800	207210	157859	157859		451	214
201500739349300600	30392	43700	43700		21606	22516
201541829349300434	40227	48708	48708		12933	22395
201542299349304114	1468187	1623735	1623735		969	159
201521569349300332	18489	8441	8441		5652	1086
201542299349303349	119068	70905	70905		1686	498
201511349349300616	143995	191170	191170		1	2
201542319349300509	301004	540835	540835		0	61
201521199349300732	43058	39316	39316		2	2
201511739349300306	88738	56792	56792		22841	52252
201532269349303158	0	12723	12723		78	0
201501339349302155	0	0			83413	176848
201501329349303055	0	0			180	387
201522289349300207	847797	575007	575007		372	306
201532039349300143	4780	7926	7926		75766	107289
201502239349301555	0	0			170	75
201532189349300818	9509	8058	8058		357490	300677
201532399349300033	1135339	1209272	1209272		499636	559825
201511919349301301	349889	447155	447155		445	403
201531339349301243	1135	750	750		0	0
201511969349300301	80790	12850	12850		44451	70765
